rule_number,rule,class,burn_in,cond_entropy,ambiguous_fraction,n_samples,n_keys
0,Rule 0,I,0,0.0,0.0,30560,8
0,Rule 0,I,2,0.0,0.0,30560,1
0,Rule 0,I,4,0.0,0.0,30560,1
0,Rule 0,I,8,0.0,0.0,30560,1
0,Rule 0,I,16,0.0,0.0,30560,1
0,Rule 0,I,32,0.0,0.0,30560,1
0,Rule 0,I,64,0.0,0.0,30560,1
0,Rule 0,I,128,0.0,0.0,30560,1
0,Rule 0,I,200,0.0,0.0,30560,1
8,Rule 8,I,0,0.0,0.0,30560,8
8,Rule 8,I,2,0.0,0.0,30560,1
8,Rule 8,I,4,0.0,0.0,30560,1
8,Rule 8,I,8,0.0,0.0,30560,1
8,Rule 8,I,16,0.0,0.0,30560,1
8,Rule 8,I,32,0.0,0.0,30560,1
8,Rule 8,I,64,0.0,0.0,30560,1
8,Rule 8,I,128,0.0,0.0,30560,1
8,Rule 8,I,200,0.0,0.0,30560,1
32,Rule 32,I,0,0.1831329653405234,0.44712041884816756,30560,8
32,Rule 32,I,2,0.0,0.0,30560,8
32,Rule 32,I,4,0.0,0.0,30560,7
32,Rule 32,I,8,0.0,0.0,30560,1
32,Rule 32,I,16,0.0,0.0,30560,1
32,Rule 32,I,32,0.0,0.0,30560,1
32,Rule 32,I,64,0.0,0.0,30560,1
32,Rule 32,I,128,0.0,0.0,30560,1
32,Rule 32,I,200,0.0,0.0,30560,1
40,Rule 40,I,0,0.46899277013304186,0.5321662303664921,30560,8
40,Rule 40,I,2,0.026402390409144362,0.03262434554973822,30560,8
40,Rule 40,I,4,0.00600526435760607,0.007231675392670157,30560,7
40,Rule 40,I,8,0.0,0.0,30560,7
40,Rule 40,I,16,0.0,0.0,30560,1
40,Rule 40,I,32,0.0,0.0,30560,1
40,Rule 40,I,64,0.0,0.0,30560,1
40,Rule 40,I,128,0.0,0.0,30560,1
40,Rule 40,I,200,0.0,0.0,30560,1
4,Rule 4,II,0,0.443746622591623,0.6784031413612566,30560,8
4,Rule 4,II,2,0.0,0.0,30560,8
4,Rule 4,II,4,0.0,0.0,30560,8
4,Rule 4,II,8,0.0,0.0,30560,8
4,Rule 4,II,16,0.0,0.0,30560,8
4,Rule 4,II,32,0.0,0.0,30560,8
4,Rule 4,II,64,0.0,0.0,30560,8
4,Rule 4,II,128,0.0,0.0,30560,8
4,Rule 4,II,200,0.0,0.0,30560,8
12,Rule 12,II,0,0.5148422752607121,0.5319698952879581,30560,8
12,Rule 12,II,2,0.0,0.0,30560,8
12,Rule 12,II,4,0.0,0.0,30560,8
12,Rule 12,II,8,0.0,0.0,30560,8
12,Rule 12,II,16,0.0,0.0,30560,8
12,Rule 12,II,32,0.0,0.0,30560,8
12,Rule 12,II,64,0.0,0.0,30560,8
12,Rule 12,II,128,0.0,0.0,30560,8
12,Rule 12,II,200,0.0,0.0,30560,8
36,Rule 36,II,0,0.41767310069847463,0.6784031413612566,30560,8
36,Rule 36,II,2,0.0,0.0,30560,7
36,Rule 36,II,4,0.0,0.0,30560,7
36,Rule 36,II,8,0.0,0.0,30560,7
36,Rule 36,II,16,0.0,0.0,30560,7
36,Rule 36,II,32,0.0,0.0,30560,7
36,Rule 36,II,64,0.0,0.0,30560,7
36,Rule 36,II,128,0.0,0.0,30560,7
36,Rule 36,II,200,0.0,0.0,30560,7
108,Rule 108,II,0,0.44352165909544433,0.44712041884816756,30560,8
108,Rule 108,II,2,0.0,0.0,30560,8
108,Rule 108,II,4,0.0,0.0,30560,8
108,Rule 108,II,8,0.0,0.0,30560,8
108,Rule 108,II,16,0.0,0.0,30560,8
108,Rule 108,II,32,0.0,0.0,30560,8
108,Rule 108,II,64,0.0,0.0,30560,8
108,Rule 108,II,128,0.0,0.0,30560,8
108,Rule 108,II,200,0.0,0.0,30560,8
18,Rule 18,III,0,0.423752880692708,0.7607657068062827,30560,8
18,Rule 18,III,2,0.2818004000925334,0.4493128272251309,30560,8
18,Rule 18,III,4,0.21015940611951758,0.4199607329842932,30560,8
18,Rule 18,III,8,0.17428609486363927,0.4166557591623037,30560,8
18,Rule 18,III,16,0.14623784798399259,0.45219240837696334,30560,8
18,Rule 18,III,32,0.1264201972938776,0.48897251308900525,30560,8
18,Rule 18,III,64,0.11041318854447288,0.5441426701570681,30560,8
18,Rule 18,III,128,0.09550570757493464,0.5660667539267016,30560,8
18,Rule 18,III,200,0.08555192159447404,0.5783376963350786,30560,8
30,Rule 30,III,0,0.6977185221956684,0.7607657068062827,30560,8
30,Rule 30,III,2,0.5539806188151759,0.7247709424083769,30560,8
30,Rule 30,III,4,0.6377108876135288,0.8083442408376963,30560,8
30,Rule 30,III,8,0.6691618177818258,0.8456806282722513,30560,8
30,Rule 30,III,16,0.6785715719253551,0.8737238219895288,30560,8
30,Rule 30,III,32,0.6876317429693387,0.8918848167539267,30560,8
30,Rule 30,III,64,0.6813001414724611,0.8927356020942409,30560,8
30,Rule 30,III,128,0.6706465612163686,0.8979057591623036,30560,8
30,Rule 30,III,200,0.6592061019532125,0.9027486910994764,30560,8
60,Rule 60,III,0,0.5253662404498983,0.5319698952879581,30560,8
60,Rule 60,III,2,0.393561982196716,0.4055301047120419,30560,8
60,Rule 60,III,4,0.34547271125026097,0.37280759162303667,30560,8
60,Rule 60,III,8,0.3450870470404541,0.37074607329842935,30560,8
60,Rule 60,III,16,0.34655973717298977,0.3761780104712042,30560,8
60,Rule 60,III,32,0.3536422801396734,0.3772905759162304,30560,8
60,Rule 60,III,64,0.3596413703081224,0.3817408376963351,30560,8
60,Rule 60,III,128,0.3783727848679921,0.3993128272251309,30560,8
60,Rule 60,III,200,0.47599103505380336,0.5170811518324607,30560,8
90,Rule 90,III,0,0.5230865158453444,0.5294829842931937,30560,8
90,Rule 90,III,2,0.40619781205737665,0.41011125654450264,30560,8
90,Rule 90,III,4,0.342002685127319,0.36724476439790577,30560,8
90,Rule 90,III,8,0.34556171435991623,0.3702879581151832,30560,8
90,Rule 90,III,16,0.34366645308092403,0.37104057591623035,30560,8
90,Rule 90,III,32,0.34350226920858945,0.36976439790575916,30560,8
90,Rule 90,III,64,0.34742009905856563,0.374901832460733,30560,8
90,Rule 90,III,128,0.33832837875006366,0.36642670157068064,30560,8
90,Rule 90,III,200,0.4903913012026196,0.5303337696335079,30560,8
150,Rule 150,III,0,0.5034948492877662,0.6993782722513089,30560,8
150,Rule 150,III,2,0.5788799725381041,0.7933246073298429,30560,8
150,Rule 150,III,4,0.6128484511685759,0.7898560209424084,30560,8
150,Rule 150,III,8,0.6618274948176307,0.8006871727748691,30560,8
150,Rule 150,III,16,0.6546697468385637,0.7994109947643979,30560,8
150,Rule 150,III,32,0.6522819102652848,0.7988874345549738,30560,8
150,Rule 150,III,64,0.6552349064257212,0.7986583769633507,30560,8
150,Rule 150,III,128,0.6588685116155918,0.799640052356021,30560,8
150,Rule 150,III,200,0.7075288923172092,0.837434554973822,30560,8
54,Rule 54,IV,0,0.7368565165624217,0.7607657068062827,30560,8
54,Rule 54,IV,2,0.5023625190536939,0.6380235602094241,30560,8
54,Rule 54,IV,4,0.5339685006866031,0.7326570680628273,30560,8
54,Rule 54,IV,8,0.5690698247268736,0.8226112565445026,30560,8
54,Rule 54,IV,16,0.5317268617918147,0.8781086387434555,30560,8
54,Rule 54,IV,32,0.5037344495013938,0.9019960732984293,30560,8
54,Rule 54,IV,64,0.4710375021031885,0.9108311518324608,30560,8
54,Rule 54,IV,128,0.44530581087535276,0.9196989528795811,30560,8
54,Rule 54,IV,200,0.43100089655967655,0.9220549738219895,30560,8
110,Rule 110,IV,0,0.5233481616759541,0.5321662303664921,30560,8
110,Rule 110,IV,2,0.3594224799075105,0.41014397905759165,30560,8
110,Rule 110,IV,4,0.3856983780975264,0.4518979057591623,30560,8
110,Rule 110,IV,8,0.42386414898412195,0.48897251308900525,30560,8
110,Rule 110,IV,16,0.5056419036166946,0.5681282722513089,30560,8
110,Rule 110,IV,32,0.5132120896864818,0.574836387434555,30560,8
110,Rule 110,IV,64,0.5236719314807688,0.5804646596858639,30560,8
110,Rule 110,IV,128,0.5324460471484309,0.5825589005235602,30560,8
110,Rule 110,IV,200,0.5391402318466361,0.5894960732984293,30560,8
