rule_number,rule,class,cond_entropy,ambiguous_fraction,n_samples,n_keys
0,Rule 0,I,0.0,0.0,61200,1
8,Rule 8,I,0.0,0.0,61200,1
32,Rule 32,I,0.0,0.0,61200,1
40,Rule 40,I,0.0,0.0,61200,1
4,Rule 4,II,0.0,0.0,61200,8
12,Rule 12,II,0.0,0.0,61200,8
36,Rule 36,II,0.0,0.0,61200,7
108,Rule 108,II,0.0,0.0,61200,8
18,Rule 18,III,0.11416594666639106,0.5306699346405229,61200,8
90,Rule 90,III,0.34419435259813264,0.3697712418300654,61200,8
60,Rule 60,III,0.3533228124681954,0.3771732026143791,61200,8
54,Rule 54,IV,0.47166396816900663,0.9115359477124183,61200,8
110,Rule 110,IV,0.5349080656236855,0.5877941176470588,61200,8
150,Rule 150,III,0.6516977729277476,0.7967483660130719,61200,8
30,Rule 30,III,0.6857655351373073,0.8956862745098039,61200,8
